asset_id,asset_name,travel_seconds,travel_time_str,stopped_seconds,stopped_time_str,proyecto,ec,fecha_procesamiento
281474998315132,2193,20069,5:34:29,56894,15:48:14,MeLi Dedicado TD,EC-05,2026-02-20
281474998315139,2195,66100,18:21:40,16387,4:33:07,MeLi Dedicado TD,EC-05,2026-02-20
281474998315143,2194,40015,11:06:55,47418,13:10:18,MeLi Dedicado TD,EC-05,2026-02-20
281474998315149,DISPONIBLE VM9,0,0:00:00,99120,"1 day, 3:32:00",,,2026-02-20
281474998315253,1911,5800,1:36:40,64917,18:01:57,Patieros Crisa,EC-10,2026-02-20
281474998353799,1821,0,0:00:00,99120,"1 day, 3:32:00",,,2026-02-20
281474998356020,1948,22032,6:07:12,74654,20:44:14,Circuitos,EC-03,2026-02-20
281474998363880,1881,36417,10:06:57,65034,18:03:54,Circuitos,EC-03,2026-02-20
281474998364485,1940,23540,6:32:20,54141,15:02:21,Circuitos,EC-03,2026-02-20
281474998369880,1904,0,0:00:00,99120,"1 day, 3:32:00",Circuitos,EC-03,2026-02-20
281474998454060,1958,20495,5:41:35,64315,17:51:55,Liverpool Full,EC-01,2026-02-20
281474998484461,2197,76554,21:15:54,13431,3:43:51,MeLi Dedicado TD,EC-05,2026-02-20
281474998484473,2198,42833,11:53:53,46988,13:03:08,MeLi Dedicado TD,EC-05,2026-02-20
281474998484479,2199,9434,2:37:14,68847,19:07:27,MeLi Dedicado TD,EC-05,2026-02-20
